il,ilce,AKP,CHP,MHP,HDP,OTHERS,AKPV,CHPV,MHPV,HDPV,OTHERSV,kod
Aydın,Çine,0.3638,0.3998,0.1736,0.0155,0.04719999999999999,12538.0,13777.0,5984.0,535.0,1629.0,9
Aydın,Didim,0.2082,0.4575,0.1483,0.15789999999999998,0.0282,9117.0,20034.0,6496.0,6917.0,1230.0,9
Aydın,Efeler,0.28190000000000004,0.4008,0.1858,0.1021,0.0293,47821.0,67974.0,31507.0,17320.0,4988.0,9
Aydın,Germencik,0.2252,0.3648,0.2029,0.17920000000000005,0.0279,6212.0,10061.0,5597.0,4942.0,768.0,9
Aydın,İncirliova,0.34340000000000004,0.3612,0.2047,0.0691,0.0215,9199.0,9677.0,5485.0,1850.0,580.0,9
Aydın,Karacasu,0.3425,0.4274,0.17559999999999998,0.0116,0.042800000000000005,4337.0,5411.0,2223.0,147.0,543.0,9
Aydın,Karpuzlu,0.4836,0.314,0.1563,0.0074,0.03880000000000002,3735.0,2425.0,1207.0,57.0,299.0,9
Aydın,Koçarlı,0.4201,0.369,0.1563,0.0255,0.029200000000000007,6695.0,5880.0,2490.0,406.0,464.0,9
Aydın,Köşk,0.5042,0.1573,0.23440000000000005,0.06559999999999999,0.03840000000000001,8684.0,2709.0,4038.0,1130.0,664.0,9
Aydın,Kuşadası,0.2019,0.5168,0.1634,0.08810000000000001,0.029800000000000007,12702.0,32513.0,10283.0,5543.0,1877.0,9
Aydın,Kuyucak,0.3926,0.4091,0.1607,0.0068000000000000005,0.0308,7451.0,7764.0,3050.0,130.0,585.0,9
Aydın,Nazilli,0.3041,0.3965,0.1905,0.0747,0.034100000000000005,28839.0,37610.0,18068.0,7089.0,3240.0,9
Aydın,Söke,0.2214,0.4297,0.1818,0.1408,0.0261,16135.0,31315.0,13249.0,10259.0,1911.0,9
Aydın,Sultanhisar,0.3029,0.4075,0.1769,0.0842,0.028500000000000008,4117.0,5539.0,2404.0,1144.0,388.0,9
Aydın,Yenipazar,0.4291,0.3625,0.1653,0.0121,0.031,3827.0,3233.0,1474.0,108.0,276.0,9
Balıkesir,Altıeylül,0.4415,0.2589,0.2407,0.0235,0.03570000000000001,48198.0,28258.0,26278.0,2564.0,3894.0,10
Balıkesir,Ayvalık,0.2171,0.5265,0.16269999999999998,0.0666,0.0271,10074.0,24428.0,7547.0,3090.0,1263.0,10
Balıkesir,Balya,0.4029,0.3542,0.17670000000000002,0.0165,0.0498,4214.0,3705.0,1848.0,173.0,522.0,10
Balıkesir,Bandırma,0.3025,0.436,0.1864,0.042800000000000005,0.0333,28486.0,41053.0,17546.0,4026.0,3162.0,10
Balıkesir,Bigadiç,0.5041,0.2267,0.2064,0.0149,0.04939999999999999,16547.0,7443.0,6776.0,489.0,1622.0,10
Balıkesir,Burhaniye,0.2938,0.4589,0.1564,0.059000000000000004,0.0322,10989.0,17164.0,5851.0,2206.0,1201.0,10
Balıkesir,Dursunbey,0.6905,0.087,0.1447,0.005600000000000001,0.07260000000000001,18282.0,2304.0,3832.0,147.0,1920.0,10
Balıkesir,Edremit,0.2745,0.4677,0.1604,0.0619,0.03570000000000001,24817.0,42287.0,14504.0,5601.0,3228.0,10
Balıkesir,Erdek,0.2816,0.5595,0.1093,0.022000000000000002,0.02810000000000001,6436.0,12787.0,2499.0,503.0,636.0,10
Balıkesir,Gömeç,0.2893,0.4425,0.1841,0.0571,0.027099999999999992,2527.0,3865.0,1608.0,499.0,238.0,10
Balıkesir,Gönen,0.3976,0.3369,0.21100000000000002,0.0212,0.03340000000000001,19940.0,16896.0,10580.0,1063.0,1680.0,10
Balıkesir,Havran,0.4752,0.2532,0.2207,0.0063,0.0444,8476.0,4516.0,3937.0,113.0,797.0,10
Balıkesir,İvrindi,0.5332,0.2206,0.1878,0.0073,0.051300000000000005,12703.0,5256.0,4474.0,175.0,1220.0,10
Balıkesir,Karesi,0.4369,0.2448,0.25980000000000003,0.0192,0.0398,49207.0,27566.0,29260.0,2163.0,4446.0,10
Balıkesir,Kepsut,0.5764,0.1244,0.2356,0.0099,0.05369999999999999,9458.0,2042.0,3866.0,163.0,881.0,10
Balıkesir,Manyas,0.3381,0.4597,0.1575,0.012,0.03280000000000001,4863.0,6613.0,2266.0,173.0,470.0,10
Balıkesir,Marmara,0.3897,0.4012,0.1421,0.04190000000000002,0.0252,2370.0,2440.0,864.0,255.0,153.0,10
Balıkesir,Savaştepe,0.4834000000000001,0.2171,0.249,0.0158,0.034900000000000014,6101.0,2740.0,3143.0,199.0,439.0,10
Balıkesir,Sındırgı,0.4596,0.2272,0.2658,0.0048,0.043,12012.0,5938.0,6948.0,126.0,1123.0,10
Balıkesir,Susurluk,0.3631,0.3812,0.2073,0.0144,0.034000000000000016,9881.0,10372.0,5640.0,393.0,927.0,10
Bartın,Amasra,0.3119,0.4092,0.1905,0.013500000000000002,0.07469999999999997,3022.0,3964.0,1846.0,131.0,725.0,74
